Bundesland,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
Baden,166796,104566,7116,56940
Bayern,133217,196457,8075,92233
Berlin,92942,29559,30,34392
Brandenburg,33911,40841,1098,16930
Bremen,10200,8796,161,6911
Hamburg,22465,30722,237,12260
Hessen,68241,65602,6034,34410
Mecklenburg-Vorpommern,11175,25088,662,15927
Niedersachsen,44146,94449,27653,74007
Nordrhein-Westfalen,77615,276962,13119,142056
Rheinland-Pfalz,52267,57100,90,31114
Saarland,15961,6232,0,7121
Sachsen,35408,48249,6799,17938
Sachsen-Anhalt,21305,28208,2909,17331
Schleswig-Holstein,40174,35535,8769,38703
ThÃ¼ringen,31644,28161,2912,12272
